"id","size","flower_n","log_size","repro","size_next","flower_n_next","survival","log_size_next","repro_next"
125,0.0975270125864376,NA,-2.32762588718161,0,0.171278416964942,NA,1,-1.76446487712465,0
126,0.268360487669615,NA,-1.3154240990674,0,0.470553268164947,2,1,-0.753846110286633,1
128,0.0282966712925257,NA,-3.56501110342321,0,NA,NA,0,NA,NA
129,0.368004732065866,NA,-0.999659482021244,0,0.202943701633502,3,1,-1.59482667025861,1
130,1.269483583743,7,0.23861019080132,1,1.45063784949432,10,1,0.372003355909491,1
131,0.655682409515599,7,-0.422078739103681,1,0.904087416836283,6,1,-0.100829223224972,1
132,5.8245195248097,18,1.76207651103848,1,7.26438194846616,92,1,1.98298322092797,1
133,0.13853400395838,1,-1.97663946754387,1,0.230126659923711,NA,1,-1.46912542631548,0
134,0.436718105045129,1,-0.828467360579396,1,0.782168049135313,3,1,-0.24568566493132,1
135,0.355482128446848,NA,-1.03428030260068,0,0.318844875574561,NA,1,-1.14305057793677,0
136,0.207205067983135,NA,-1.57404630951787,0,0.457811101693002,4,1,-0.781298621663768,1
137,1.28862202410416,5,0.253573449074217,1,1.87716537992523,14,1,0.629762862367271,1
138,0.786619084177233,4,-0.240011157675337,1,1.36185616624349,11,1,0.308848597336854,1
139,0.33501799971751,NA,-1.09357101810047,0,0.139909626864866,4,1,-1.96675858720594,1
140,2.4063990244704,10,0.878131449383674,1,2.14693766856107,11,1,0.76404248659867,1
141,0.771199958206565,1,-0.259807589878535,1,0.877057044768396,NA,1,-0.131183243379363,0
142,0.255772398745453,NA,-1.36346729735798,0,0.270197556756945,NA,1,-1.30860189584724,0
143,5.0600984414538,15,1.6213859379429,1,5.76158337001814,42,1,1.75121232756044,1
144,0.142762548277427,NA,-1.94657253043944,0,0.165252443884069,NA,1,-1.80028101134869,0
145,0.03452132924049,NA,-3.36617790712095,0,0.0400491869341053,NA,1,-3.21764690694462,0
146,0.054093860644716,NA,-2.91703458118261,0,0.104410977570474,NA,1,-2.25942045991891,0
147,0.061048567208699,NA,-2.79608554784581,0,0.0315992765030387,NA,1,-3.45462105412484,0
148,2.14450288088184,5,0.762907768355497,1,1.83765235010337,9,1,0.608488860288756,1
151,3.36329387686755,9,1.21292081427108,1,6.03423563699299,39,1,1.79744919151448,1
153,4.6759658239283,17,1.54243573475683,1,1.92722314288461,19,1,0.656080180800081,1
154,0.93263814056592,6,-0.0697379984187427,1,2.17890385425638,17,1,0.778821931196607,1
156,0.688959997828434,2,-0.372572067958087,1,0.0503674508515461,NA,1,-2.98841012897166,0
158,0.499770282697095,NA,-0.69360672073817,0,0.662629716445486,NA,1,-0.411538941879486,0
159,0.359260114220621,2,-1.02370860070847,1,0.982054795675819,NA,1,-0.0181081721072284,0
160,0.498666102995043,2,-0.695818539473998,1,0.0592499864693432,NA,1,-2.82598972733244,0
161,0.278554514127759,NA,-1.27814149683884,0,0.775954753321523,NA,1,-0.253661068074228,0
162,3.03129099953284,9,1.10898860123127,1,3.84478816778271,16,1,1.34671850853557,1
163,1.13791173885936,5,0.12919477457628,1,0.808991420096071,8,1,-0.211966967547165,1
164,2.19809908917195,7,0.787592936481187,1,2.47257428898087,15,1,0.905259830162796,1
165,1.67416707543436,2,0.515315773200701,1,1.3279209907152,13,1,0.283614554340978,1
167,0.210463139935394,NA,-1.55844474838803,0,0.332642138960047,NA,1,-1.10068802463804,0
168,0.278578608734731,1,-1.27805500186664,1,0.208660485377962,NA,1,-1.56704681977823,0
169,0.906271264662743,5,-0.0984166086330979,1,0.962322951620748,7,1,-0.0384051761084596,1
170,0.170392596997785,1,-1.76965011037936,1,0.191153821627301,NA,1,-1.65467682622083,0
171,0.942288729245299,1,-0.0594435447395055,1,0.403098787762895,NA,1,-0.908573616149833,0
172,1.60025327670051,2,0.470161914655758,1,2.12028835408328,13,1,0.75155209551159,1
173,1.456247708961,6,0.37586306508497,1,4.2130140812124,28,1,1.43817832531562,1
174,1.86797026033496,11,0.624852419088356,1,1.06184070709131,5,1,0.0600039182469364,1
175,1.24166431719752,3,0.216452670971703,1,1.75401138686907,4,1,0.561905385872516,1
176,0.246912649145367,NA,-1.39872065208682,0,0.710693771458948,5,1,-0.341513643140205,1
177,1.37785990843276,2,0.320531504457373,1,0.788233136233284,3,1,-0.237961374717588,1
178,1.03179569011142,NA,0.0313006727615617,0,1.17736020166677,6,1,0.16327481516097,1
179,1.5919140151194,11,0.464937075360173,1,1.08648040086736,3,1,0.0829434817733285,1
180,2.87156447135875,6,1.05485699322366,1,2.16486878347409,2,1,0.7723597515226,1
181,0.278587044002782,3,-1.2780247226561,1,0.558569626409505,5,1,-0.582376001440088,1
182,14.3114253285643,59,2.6610581922815,1,15.702198501894,143,1,2.75380073451847,1
183,0.276052599379742,1,-1.28716385395973,1,1.01045706016047,4,1,0.010402763302515,1
184,0.366642171187532,2,-1.00336891694758,1,1.0788213935273,8,1,0.0758691429426628,1
185,1.10939143007851,2,0.103811603783589,1,0.481833544733911,2,1,-0.730156567451824,1
186,0.17985584952437,3,-1.71559958490808,1,0.135808613400161,3,1,-1.9965086387691,1
187,0.352287794970929,NA,-1.04330683808709,0,NA,NA,0,NA,NA
188,0.0333739249159409,NA,-3.399980375037,0,0.335892114020136,2,1,-1.0909652598049,1
189,0.781909792081851,NA,-0.246015900484823,0,0.391018866262587,3,1,-0.938999468849865,1
190,9.0046374567221,27,2.19773971759781,1,7.39328163566294,37,1,2.00057170075847,1
191,2.60843689198456,7,0.958751149967238,1,2.05016151589764,8,1,0.717918578289438,1
192,1.40984289391398,5,0.34347827542606,1,3.2439050499923,14,1,1.17677786640197,1
193,2.07405898877582,NA,0.729507551435568,0,2.82831835992541,22,1,1.03968231592937,1
194,6.51395224422909,9,1.87394637557588,1,5.30458807581741,54,1,1.66857212076038,1
196,1.45304051999145,7,0.373658271323497,1,1.38657745790625,29,1,0.326838450294907,1
197,0.314696711500527,2,-1.15614592459927,1,0.390370310169513,2,1,-0.940659477105844,1
198,0.0631802284001639,NA,-2.76176386854408,0,NA,NA,0,NA,NA
199,4.40449716791725,11,1.48262610256995,1,2.85047024722932,29,1,1.04748397969755,1
200,0.510652297918974,NA,-0.672066354979955,0,0.871412996888906,3,1,-0.137639250458328,1
201,27.5393473548893,69,3.31561579494016,1,20.4642649463556,134,1,3.01868019170125,1
202,0.560182799359893,4,-0.579492121090403,1,0.406422700415716,2,1,-0.90036152695569,1
204,1.80599643691953,4,0.591112482080071,1,3.28358006350257,28,1,1.18893430993699,1
205,0.206166129491239,NA,-1.57907298136076,0,0.402922205720078,1,1,-0.909011773585109,1
206,16.4881112413841,65,2.80263959037424,1,22.4881150238966,212,1,3.11298694849228,1
207,0.903505004466771,NA,-0.101473629987031,0,1.08803680196121,3,1,0.0843749731936851,1
208,0.168499324999261,NA,-1.78082353513685,0,0.269702140324316,2,1,-1.31043711292313,1
209,0.160883433187814,NA,-1.82707519369189,0,NA,NA,0,NA,NA
210,0.0460332266209657,NA,-3.07839182539194,0,0.0391793793635083,NA,1,-3.23960470723673,0
211,0.801834626297221,9,-0.220852894002513,1,0.737926607031796,11,1,-0.303910907793393,1
213,0.102744761784999,NA,-2.27550740709998,0,0.239434244347818,NA,1,-1.4294764536993,0
214,0.46926858357284,2,-0.756580001587186,1,0.43082391754476,NA,1,-0.842055816334892,0
217,2.28378956013929,7,0.825836151007467,1,2.6843830355366,19,1,0.987450919633865,1
218,8.41327663362034,20,2.12981100971361,1,4.34820073731773,15,1,1.46976213592963,1
219,2.02343646460471,10,0.704797286078643,1,1.3473152315047,6,1,0.298113894922251,1
220,0.116508962007304,NA,-2.1497870818338,0,0.137963912333295,NA,1,-1.98076313285448,0
221,0.751746344510873,5,-0.285356319764666,1,0.180305478218965,4,1,-1.71310276532449,1
222,0.117441338335691,1,-2.14181631827069,1,NA,NA,0,NA,NA
223,0.0606477067147215,2,-2.80267345610051,1,0.0729619851661713,1,1,-2.61781672462005,1
224,0.216821218463974,NA,-1.52868214306192,0,0.0957083593181306,1,1,-2.34644963514118,1
226,0.746264699453875,NA,-0.292674916708688,0,0.427871944237274,2,1,-0.84893132387561,1
228,1.28266732155345,NA,0.248941754701842,0,0.862964796025825,3,1,-0.147381381284833,1
229,0.572630734478054,NA,-0.557514212456365,0,NA,NA,0,NA,NA
230,0.128785311012715,NA,-2.04960851674784,0,0.124300107480501,NA,1,-2.0850564157796,0
231,0.127066562138244,1,-2.06304421849716,1,0.220095539068863,NA,1,-1.51369355840222,0
232,0.0635044616197494,NA,-2.75664511382339,0,0.203419247669058,NA,1,-1.59248617020339,0
233,0.0782125963416099,NA,-2.54832456586542,0,0.147120718316593,2,1,-1.91650181617629,1
234,12.3833284912533,36,2.5163510914797,1,14.2018009616762,87,1,2.65336878485225,1
235,18.0459292840174,29,2.89292013491326,1,11.5086342177372,71,1,2.44309755520109,1
236,0.684465856705102,NA,-0.379116516133065,0,1.25221284657132,2,1,0.224912263477313,1
244,0.103612941048246,NA,-2.2670930433647,0,NA,NA,0,NA,NA
249,0.227437658240331,NA,-1.48087910785696,0,NA,NA,0,NA,NA
254,0.0392964575711493,NA,-3.2366209023083,0,NA,NA,0,NA,NA
259,8.86389566818117,39,2.18198635964924,1,2.37779895394456,16,1,0.866175250516466,1
260,10.6811310309446,15,2.3684787296987,1,9.53852261013623,45,1,2.25533861079858,1
261,1.3633612358578,2,0.309953147576532,1,1.4010223984703,7,1,0.337202254714798,1
263,0.701253566394729,11,-0.354885736390279,1,0.760425046780025,10,1,-0.273877729957123,1
